id,x,y,z,label,size
Imanbek,-0.04928870918941716,-0.18251770441979864,-0.08805735066363318,Imanbek,1
Claptone,-0.007919428860269875,-0.05346049708079539,0.04382854912959347,Claptone,3
PS1,-0.039247635730524574,-0.16093508284362973,-0.04549887852241934,PS1,2
Miguel,-0.07842950683865055,-0.17154265071807467,-0.08469138337892936,Miguel,1
Olivia Rodrigo,0.9331514613061732,0.4411501165490268,0.2135970667184824,Olivia Rodrigo,0
The Weeknd,-0.03550079446302611,0.12099822103391437,-0.06278549232728188,The Weeknd,18
Playboi Carti,0.0025468193980571012,0.10232774229641799,-0.1235760874811165,Playboi Carti,3
Daft Punk,-0.03661284840179704,0.17249528772224867,-0.06743618800546294,Daft Punk,2
Anitta,-0.045592318122882135,0.1957861314799527,-0.08863149479659564,Anitta,1
Gesaffelstein,-0.07676552731024051,0.14765592972375322,0.009972548280769237,Gesaffelstein,2
Lana Del Rey,-0.09137460333505486,0.18596351960451746,-0.04432849598695404,Lana Del Rey,7
Travis Scott,-0.07795958515386794,0.11890898411928195,-0.05159313806661458,Travis Scott,6
Florence + The Machine,-0.07118979815856417,0.16799054825368717,-0.06122817147789194,Florence + The Machine,2
Justice,-0.03191933088754275,0.199735273300496,-0.07260334429322589,Justice,1
Future,-0.0696236109286512,0.10248575736438682,-0.09061650783858759,Future,2
Ariana Grande,-0.014144317294016903,0.056965987578871884,-0.13956910967727018,Ariana Grande,24
Kendrick Lamar,-0.06802853962132584,0.06979849058989533,-0.011933552089613995,Kendrick Lamar,2
Giorgio Moroder,-0.05365200808070956,0.19720302968872563,-0.07395141954448493,Giorgio Moroder,1
LISA,0.08290334116514299,0.037069416212248685,0.05552578887414173,LISA,4
Doja Cat,0.0227379430795455,0.05687099178588759,0.023417002606999974,Doja Cat,22
RAYE,0.13146506737882704,0.007782829605707327,0.09348430979950297,RAYE,38
SZA,-0.03523299860006246,0.07449985901615605,-0.03003061282524803,SZA,6
Jack Harlow,0.07221456665005509,0.09737381981897546,0.01444659098351418,Jack Harlow,1
Konshens,0.05714359353296525,0.11120141002157535,0.04041271368344525,Konshens,1
Rico Nasty,0.06938653368596549,0.10597755524209876,0.02902461615739123,Rico Nasty,1
Tyga,0.01915399391499062,0.06615229835631173,0.09373779063375483,Tyga,4
Saweetie,0.03933996093426094,0.11899132534027111,0.04159321791886106,Saweetie,1
Smino,0.05690311762994233,0.11207472704072752,0.014489194586056204,Smino,1
JID,0.04837726392061343,0.12162861762433354,0.026313062365842427,JID,1
21 Savage,-0.053183469766891575,0.0795339286853653,-0.04389378755049303,21 Savage,4
Zedd,-0.002161019774709121,0.09965233385570783,-0.15172352337643505,Zedd,2
Justin Bieber,-0.03103030388258974,0.09643747344071447,-0.07043625898230235,Justin Bieber,26
Cynthia Erivo,-0.009921275423450435,0.07013402001628467,-0.19921804717190472,Cynthia Erivo,7
Iggy Azalea,-0.010000471164614706,0.047808442905541516,-0.21735177328223446,Iggy Azalea,1
Wicked Movie Cast,-0.03060874025686818,0.07523601053854918,-0.2143269866181756,Wicked Movie Cast,6
Andy Nyman,-0.027948265075826116,0.08860624874700676,-0.20970247769073747,Andy Nyman,6
Courtney-Mae Briggs,-0.03572879686865165,0.0877479864657284,-0.2025186979832309,Courtney-Mae Briggs,6
Jeff Goldblum,-0.03674217747537875,0.08430222026945174,-0.21565686297702025,Jeff Goldblum,6
Sharon D. Clarke,-0.04013659437156028,0.07165135328297596,-0.20929084836605558,Sharon D. Clarke,6
Jenna Boyd,-0.04460728265424654,0.08265166702693899,-0.20661251479393125,Jenna Boyd,6
Michelle Yeoh,-0.007676778049778761,0.0913185097908538,-0.276696548165756,Michelle Yeoh,1
Jonathan Bailey,-0.011081529411337618,0.06886776784355755,-0.21438332020218387,Jonathan Bailey,4
Ethan Slater,-0.005541961304690035,0.08286563479895198,-0.2097043081000109,Ethan Slater,4
Marissa Bode,0.0004285198699178769,0.0681338622595131,-0.2121485000280626,Marissa Bode,4
Nonna,-0.02935429956210238,0.04778342992037741,-0.21454658869781726,Nonna,1
Billie Eilish,0.01153006366299943,-0.0783071513175085,-0.1741844395697705,Billie Eilish,3
Charli xcx,0.0038947362973358176,-0.05422814253370354,-0.1495131868978437,Charli xcx,23
Ed Sheeran,-0.028837464446648576,0.07564841514763966,-0.11887849734306845,Ed Sheeran,13
Camila Cabello,0.015024607935845084,0.05673837494928138,-0.14756928933211752,Camila Cabello,37
Khalid,-0.006298208934834588,0.01937897751592188,0.0033002960834057115,Khalid,3
Luke Combs,-0.03785070442161914,0.13414750195936068,-0.17002326584141217,Luke Combs,1
Stormzy,-0.052008520807649984,0.12482873460543877,-0.173793315769521,Stormzy,1
Chance the Rapper,-0.02945532235803892,0.11671535410051195,-0.10410978399859254,Chance the Rapper,5
PnB Rock,-0.03270027268255919,0.13379063766020238,-0.14224972114926507,PnB Rock,2
Drake,-0.0960491690941357,0.0842285573244719,-0.08284388389011271,Drake,42
PARTYNEXTDOOR,-0.11571410714706315,0.08763188664514515,-0.10156184472255474,PARTYNEXTDOOR,9
Yebba,-0.1128273667153865,0.05726997370615792,-0.12910134416622124,Yebba,4
Wizkid,-0.158930850845762,0.10659375134605835,-0.11899795745566621,Wizkid,2
Kyla,-0.1617094952062825,0.09320026333634802,-0.11397314990097447,Kyla,2
Chris Brown,-0.09983667402126031,0.08417889452730143,-0.05554076788245772,Chris Brown,12
GIVĒON,-0.07238904607146679,0.13310712768945912,-0.0942663185159108,GIVĒON,3
Rihanna,-0.06927626433230046,0.04457044839049564,-0.07830002409000797,Rihanna,17
Pimmie,-0.13740651173021778,0.11397622896675584,-0.11576763913909016,Pimmie,2
Yeat,-0.15001243575176812,0.09162111248020849,-0.13030565781929918,Yeat,1
Majid Jordan,-0.16026091739519385,0.1174742533374794,-0.10348119593988558,Majid Jordan,1
Lil Durk,-0.14659639049266074,0.1356134614525919,-0.1117573566386462,Lil Durk,1
Lil Baby,-0.1446458893041439,0.12037405948541155,-0.12958872989098819,Lil Baby,1
J. Cole,-0.14200097376081025,0.09769239071259009,-0.06722243323212929,J. Cole,2
Lil Wayne,-0.11412457348267012,0.08127458136985312,-0.05910889414285938,Lil Wayne,11
Harry Styles,0.47328697908777245,-0.16184112198204972,-0.8699270359757705,Harry Styles,0
Stevie Nicks,-0.013216585146719926,-0.21355476465418266,-0.04889134516932069,Stevie Nicks,1
