song_id,primary_artist,community_id,degree
6Xs7OKt6i0Ddq8B4M5Dgvr,Halsey,15,10
0OTDHJnkbM2TziqLWq1XQg,Halsey,15,10
5lfWrciYtohtIMVDVZd0Rf,Halsey,15,10
6kxaaIeowajN7w21PfMLbu,Halsey,15,10
6uW5fyyosEMBKfg2W1ye1l,Halsey,15,10
6VYAzAQGFsfEAwdorQaZuU,Halsey,15,10
7gdAgbYxtwwXsWsItU1apk,Halsey,15,10
4FqMPJlvfY5Nfo3gRKcNxl,Halsey,15,10
5dcYoYFAXh0f0qI05AoufB,Halsey,15,10
0IYzTSQj0G21K2ZDSwUZDM,Halsey,15,10
6SL8U8TtdwOtGhbmGzsMfX,Halsey,15,10
5x2XIAdvFxWCwIOMNkbWUj,Halsey,15,10
4U38hORPx8SsUAXGumsUYN,Halsey,15,10
65n4DkUhKUO4tECIabKwy1,Halsey,15,10
1mGM4dJe4v9DhBY3pRSpRj,Halsey,15,10
3WtCu35qpzGCLIGa8pczdu,Halsey,15,10
5Dg2h1wsm7ZijCo0yLmbvR,Halsey,15,10
5Oows4h53UGeAvJFyCMseY,Halsey,15,10
0vFkbd99U6cBAQPAUjvNOv,Halsey,15,10
6s8PRmROPJHlqZmu9Bbviz,Halsey,15,10
6m3uTDJZzWymLsXOzlY6TD,Halsey,15,10
3UhxppZQkfk9WniMtjpESF,Halsey,15,10
3ek4HgBlmvkTWgfT5sTSe9,Halsey,15,10
4bw3ZyWA1ui0Adu285NWDl,Halsey,15,10
2031g1Fr1ZxIFSjonvuM1S,Halsey,15,10
1r1WtSrPbAOYHE7zwq4eqK,Halsey,15,10
5XijWLBY0vwl5MPUpQA2Ha,Halsey,15,10
36dfGEKTGHxLmdNIYr0VTi,Halsey,15,10
7vn2QEYFYJb1OGuDRKKARO,Halsey,15,10
3C34G0n3pThaxTSwsWpSOT,Halsey,15,10
6zQq3TrWnilO8SR1fgvTeD,Halsey,15,10
05NG7kwEZLhA2il9MiXEWT,Halsey,15,10
5PJujqvYgwsNn31pVTtebG,Halsey,15,10
1rIKgCH4H52lrvDcz50hS8,Zara Larsson,0,12
1x5sYLZiu9r5E43kMlt9f8,Zara Larsson,0,12
1bgKMxPQU7JIZEhNsM1vFs,Zara Larsson,0,12
6hmhG1b4LEyNuashVvuIAo,Zara Larsson,0,12
0ADG9OgdVTL7fgREP75BrZ,Zara Larsson,0,12
0dxp7DyPJEo6JhtnjUtBnN,Zara Larsson,0,12
4vOoQh9MhS9pyrbvc8LyMz,Zara Larsson,0,12
4nyY8oVjbX2d4qzlpiVM5n,Zara Larsson,0,12
5WokFKscrfGEGGLPTu3jgO,Zara Larsson,0,12
4VPXFi4vFTtS9wHe6oMQaT,Zara Larsson,0,12
4Q4jmPHwu0wrJvqrld0FQ6,Zara Larsson,0,12
3O8b0dDy1Z8BNM81U8DE1j,Zara Larsson,0,12
3frUvGrmGcay91lvFbOgsN,Zara Larsson,0,12
1aAR4ew6wViXZJofgVo94M,Zara Larsson,0,12
3OTSBoYKO7HzGVj8Bu2OH9,Zara Larsson,0,12
7Hl6ugkpaxbkseHzSnqlxB,Zara Larsson,0,12
624PTd4WB9XanWV1egM2lS,Zara Larsson,0,12
1G1kKHczSz6Xqv5dCmtkL4,Zara Larsson,0,12
507tQXutCPYNFkpOq8tmKF,Zara Larsson,0,12
3bWHOxTJpHL6fyATpYFQXl,Zara Larsson,0,12
1RaVANIegur4WaZTscvVS4,Zara Larsson,0,12
5SleX0NFeODNY7Xenal3gr,Zara Larsson,0,12
54LGxQGf5LPXNGjtzDZ5IE,Zara Larsson,0,12
16gu3zjAEer6t6c8qxaltf,Zara Larsson,0,12
0oQWZIDgY33kE8kEp6fEne,Zara Larsson,0,12
42od6nOeV32g5uNwz17xq5,Zara Larsson,0,12
1z1Hg7Vb0AhHDiEmnDE79l,Zara Larsson,0,12
4uoumbAMEMaKdtiv763jKz,Zara Larsson,0,12
1ewzs8xG9P7wSZhpp8VCuy,Zara Larsson,0,12
1dKmaDRG1KvqwANvlhIyqx,Zara Larsson,0,12
1N8f3LpdR5TePmSYVSLU85,Zara Larsson,0,12
6gXTlkZQjtNo5j3Kp86H4G,Zara Larsson,0,12
5dczvSmOUEE8xFDpJqPeg0,Zara Larsson,0,12
3dxnBkhHVokELZtzNTgvjc,Zara Larsson,0,12
7oArXBmMlLCtZdUkXWQZGs,Zara Larsson,0,12
4YxCwmfbo4FcAeaK0vFJFV,Zara Larsson,0,12
65ACnVMmePTp8Xdk11jP2y,Zara Larsson,0,12
1TOiDnIY8HgPyDLSR08QXq,Zara Larsson,0,12
7pDWvRIbO3fDbLMpFjuEtP,Zara Larsson,0,12
1MGqtRnKlHNO4fuHMm2Dm9,Zara Larsson,0,12
4hmhWjYjHszUdYzeUpYCUs,Zara Larsson,0,12
75gU1E0ou9Kf8GBVwGs1Xk,Zara Larsson,0,12
0ORV2zprt8OgPKEU1GxhJk,Zara Larsson,0,12
6shSHDBeA8Hj5qnyIq7jdQ,Zara Larsson,0,12
70u72FPeBl58rThfsRnZ4K,Zara Larsson,0,12
2mdEsXPu8ZmkHRRtAdC09e,Lana Del Rey,3,6
6GGtHZgBycCgGBUhZo81xe,Lana Del Rey,3,6
5Y6nVaayzitvsD5F7nr3DV,Lana Del Rey,3,6
1NZs6n6hl8UuMaX0UC0YTz,Lana Del Rey,3,6
1o82DwNisONAd2mu1RcGE6,Lana Del Rey,3,6
7bPWdJgx8vek7S5i5yAtvG,Lana Del Rey,3,6
11MyiSGZSYSmhhqwGUTtAq,Lana Del Rey,3,6
5jqNQZBwbZWQXPWfo0ygZF,Lana Del Rey,3,6
4qG7hWhljsqqENL5PaLA2z,Lana Del Rey,3,6
1y3r6RXiJZNBV1EI0NggpS,Lana Del Rey,3,6
6eygbzyL6hY8jFQTARDuo9,Lana Del Rey,3,6
0Oqc0kKFsQ6MhFOLBNZIGX,Lana Del Rey,3,6
21qg0IBZf8R12qHd9A3AA4,Lana Del Rey,3,6
6CYldrsUPBsiPtfLW4xZCl,Lana Del Rey,3,6
6PnluwP0fjGnpIBsqTdUTq,Lana Del Rey,3,6
22DH8NChecsgPxDjA4pqer,Lana Del Rey,3,6
3lG6OtGDsYAOALxEmubQQm,Lana Del Rey,3,6
34rRFl0bz9PocxWuO2ca5J,Lana Del Rey,3,6
1Ist6PR2BZR3n2z2Y5R6S1,Lana Del Rey,3,6
3RIgHHpnFKj5Rni1shokDj,Lana Del Rey,3,6
1Ym6aMuT5bliaZMC67AmPp,Lana Del Rey,3,6
0Oqxt6JixieLHbwMfnJGWO,Lana Del Rey,3,6
6pZ9Nj3vzj1RW4ZkR9GcQ9,Lana Del Rey,3,6
7iqQz931tn59mK6IZ3knRx,Lana Del Rey,3,6
1KuVEZR4xuQVNr1KkanAV4,Lana Del Rey,3,6
4qUtC2BwFC154Ha8YQRrkk,Lana Del Rey,3,6
3WD91HQDBIavSapet3ZpjG,Lana Del Rey,3,6
63hHlajVLQnlFMAqSyePxO,Lana Del Rey,3,6
6OG05bPAwUuV3OMvy2Vy1P,Lana Del Rey,3,6
2Rlso2ZNV0PaWwUYeeBYxx,Lana Del Rey,3,6
7g3htkaLz4ETFn0cifwM3y,Lana Del Rey,3,6
45pI8224KKX9Gx5fiyvEAh,Lana Del Rey,3,6
4VSg5K1hnbmIg4PwRdY6wV,Lana Del Rey,3,6
5nW4z3pfZgJAJ2QTCz9AIE,Lana Del Rey,3,6
5wEreUfwxZxWnEol61ulIi,Lana Del Rey,3,6
4y9vLiQ9mQb6XNEtc4K6ou,Lana Del Rey,3,6
0HEzuLLojblUOaUSdmJ9gl,Lana Del Rey,3,6
6IfPyMb0Sxptpx6jBUATOS,Lana Del Rey,3,6
6BFnRhvKCclDQOajt8dBGi,Lana Del Rey,3,6
2Kerz9H9IejzeIpjhDJoYG,Lana Del Rey,3,6
7MtVPRGtZl6rPjMfLoI3Lh,Lana Del Rey,3,6
761QvVHTibYjEi2r6A4g4Q,Lana Del Rey,3,6
7qF0FfuzBFwMe1lNHkEDxW,Lana Del Rey,3,6
269xqcgGTN9PlivhUkOLhX,Lana Del Rey,3,6
3sYDVtqO35oRSOIMx7dOqR,Lana Del Rey,3,6
5tyMJlMqaggzvuX7TtlrTe,Lana Del Rey,3,6
3hwQhakFwm9soLEBnSDH17,Lana Del Rey,3,6
7oTE1KmtU2ml9zBhv9Reao,Lana Del Rey,3,6
3QhfFRPkhPCR1RMJWV1gde,Lana Del Rey,3,6
7wTqEW5nrMhvyEhEyTnOMd,Conan Gray,8,1
4xqrdfXkTW4T0RauPLv3WA,Conan Gray,8,1
5UXJzLFdBn6u9FJTCnoHrH,Conan Gray,8,1
6KfoDhO4XUWSbnyKjNp9c4,Conan Gray,8,1
0iNZGC211wst3VjtobNnC5,Conan Gray,8,1
2JN3ugW1cEahbYw0I5mw5U,Conan Gray,8,1
3TFoEJe5zNuHZStRboWPxg,Conan Gray,8,1
0kn2gu8Pd03DiYHzRvX2Xk,Conan Gray,8,1
6PDWMQJ55ZYrGrSx3EZzl4,Conan Gray,8,1
7fnrjy0Sd6Lj1IBalr424v,Conan Gray,8,1
4h2KgbKNdOSVC3IJnFOFoV,Conan Gray,8,1
056bKm6W5j9QodOftRznUV,Conan Gray,8,1
0yfDVYKVKYrHknz9gVOlQr,Conan Gray,8,1
4K3gM7kzX4POAfrs71HomN,Conan Gray,8,1
5GVPVxgdgTKJFxSxLVIw1A,Conan Gray,8,1
3rPVtXLBfJz59U1LgrGHhb,Conan Gray,8,1
2sHwSBNDZN2yjCtgwStYt1,Conan Gray,8,1
6uaBrivDHCaV0uBTiwHTUi,Conan Gray,8,1
0KmgJyW4GDgonqsoyx0CZ3,Conan Gray,8,1
3QyoC6OvQUmpQwQZ18iaTs,Conan Gray,8,1
3SWGtKHaCFEUqfm9ydUFVw,Conan Gray,8,1
2zg5ClMcmqNIBrHATdxftp,Conan Gray,8,1
7AYP21Q4qnxw2WxETEvSRb,Conan Gray,8,1
6FH6fmlh9DbvssuEQyQEVd,Conan Gray,8,1
4JeOesjcWWlprTAvucDSJX,Conan Gray,8,1
02lKKPDA4OmxnyNM7vPGzJ,Conan Gray,8,1
6bOd4UM7FaQOZXR2MBzSPi,Conan Gray,8,1
5468fNbvpCnangJjmnc5V0,Conan Gray,8,1
7jrYMBC1bS1SCwxE2bt3AP,Conan Gray,8,1
52jyBtCB2MJT7U3DDo6Brj,Conan Gray,8,1
3Z39gbqdaGL3WJXBG0gcuE,Conan Gray,8,1
1oz3gEoNWHAS3pjwThdSJb,Conan Gray,8,1
6vOcpn5zG3tAgSs5TCYR1o,Conan Gray,8,1
79e2GU4RLPjAqnijfvsXYr,Conan Gray,8,1
3SnpCALgmzVy7k07aAXbuA,Conan Gray,8,1
4U6Mq3JeRNyrNdG70cPsyJ,Conan Gray,8,1
7KJXiuMXQu723ODChoxENp,Conan Gray,8,1
6VZXTCIXbgypt0erc2U1Uk,Conan Gray,8,1
0vq7fkHZl2khMonn5G7d9l,Conan Gray,8,1
3XOHxCoPkXW0pvR6xl4f0M,Conan Gray,8,1
6qOHp1FkEkv782ggdUFEiK,Conan Gray,8,1
1jGC00ZVUuVXwNdJjV17kJ,Conan Gray,8,1
2TjBKnjnOXFaF2zy4W4hfE,Conan Gray,8,1
19qvgrwvKLFn4KjWxAs9OQ,Conan Gray,8,1
2mAy8zQhZJICLFUEVGQzbE,Conan Gray,8,1
0cXRafInOlc1QH519RXltN,Conan Gray,8,1
54GASuUdLbhhdyECNUp3Pb,Conan Gray,8,1
5BI0zQZciyoQfJxsu8CIn9,Conan Gray,8,1
3b5MPNYlX8ztJowxAwzTai,Conan Gray,8,1
5cF0dROlMOK5uNZtivgu50,Charlie Puth,6,16
06KyNuuMOX1ROXRhj787tj,Charlie Puth,6,16
54PbBpquVfhfrwRwvjSXbI,Charlie Puth,6,16
